max,min,mean,median,standard deviation,variance,mode,skewness,range,interquartile range,kurtosis,kurtosis factor,peak to peak value,rms,clearance factor,shape factor,impulse factor,crest factor,sum ,percentile,level,breakdown voltage
1.341419025,-0.783572074,-0.069593615,-0.079312339,0.456034322,0.207967302,0.181120446,0.013371986,2.124991099,0.897601783,-1.530283273,-3.317227293,2.124991099,0.461313964,2.907822283,1.09164887,3.17432091,2.907822283,-139.1872297,-0.63983034,3,25
1.340083015,-0.782282496,-0.069611965,-0.079489756,0.456087428,0.208015742,0.180513868,0.01304146,2.122365511,0.898500511,-1.530443727,-3.317177706,2.122365511,0.461369231,2.90457821,1.091663995,3.170823451,2.90457821,-139.2239304,-0.640393503,3,25
1.339198642,-0.781980403,-0.069583408,-0.079758716,0.456064162,0.20799452,0.17909586,0.012892968,2.121179045,0.899482657,-1.530641477,-3.317802693,2.121179045,0.461341924,2.902833177,1.09162206,3.168796732,2.902833177,-139.1668162,-0.639775442,3,25
0.913574527,-1.118086645,-0.037265643,-0.043230297,0.548584293,0.300944727,0.479110044,-0.012930518,2.031661172,1.003801179,-1.502323644,-2.732249774,2.031661172,0.549848575,1.661502038,1.090677639,1.81216312,1.661502038,-74.53128599,-0.726728013,4,25
0.92051916,-1.124217977,-0.036917626,-0.037238655,0.548487767,0.300838831,0.485840865,-0.012824205,2.044737137,1.003889169,-1.502728621,-2.733581814,2.044737137,0.549728789,1.674496911,1.090699491,1.826372928,1.674496911,-73.83525294,-0.724798675,4,25
0.921240369,-1.125234412,-0.037172111,-0.041689822,0.548371432,0.300711228,0.481273789,-0.013571157,2.046474781,1.001714002,-1.503311653,-2.735134563,2.046474781,0.54962987,1.676110451,1.090604993,1.827974426,1.676110451,-74.34422112,-0.723895292,4,25
0.922279303,-1.120554824,-0.037377068,-0.042610605,0.548553453,0.300910891,0.480918685,-0.01289345,2.042834127,1.002752918,-1.502746758,-2.733134635,2.042834127,0.549825369,1.677404055,1.090747921,1.829624986,1.677404055,-74.75413699,-0.724093951,4,25
0.916677872,-1.116799834,-0.037078663,-0.03983712,0.54858426,0.30094469,0.48050132,-0.01287094,2.033477706,1.002118077,-1.502768861,-2.733122481,2.033477706,0.549835901,1.667184465,1.090747016,1.818476481,1.667184465,-74.15732542,-0.724124281,4,25
0.919423843,-1.119875501,-0.037319056,-0.041942401,0.54851766,0.300871623,0.481017182,-0.013048886,2.039299344,1.002615155,-1.503373878,-2.734472415,2.039299344,0.549785717,1.672331263,1.090642626,1.82391576,1.672331263,-74.63811244,-0.724166511,4,25
0.920321716,-1.12020373,-0.037209341,-0.04131321,0.548495742,0.300847579,0.47998072,-0.013073238,2.040525446,1.001536407,-1.502921256,-2.73379486,2.040525446,0.549756413,1.674053625,1.090646157,1.825800152,1.674053625,-74.41868286,-0.722975906,4,25
0.917856826,-1.118723042,-0.037206375,-0.039803026,0.548559964,0.300918034,0.48161616,-0.013020279,2.036579868,1.000549846,-1.503274696,-2.734120094,2.036579868,0.549820288,1.669376061,1.090619479,1.82065405,1.669376061,-74.41274927,-0.722344811,4,25
0.917768904,-1.120025482,-0.037173271,-0.041497946,0.548502093,0.300854546,0.477023835,-0.012720055,2.037794387,1.001459176,-1.50335169,-2.734558429,2.037794387,0.54976031,1.669398259,1.090635594,1.820705162,1.669398259,-74.34654175,-0.722455786,4,25
0.921713253,-1.1223871,-0.03716123,-0.041498239,0.548540297,0.300896457,0.48145481,-0.013272369,2.044100353,1.000284053,-1.503208134,-2.734111792,2.044100353,0.549797612,1.676459179,1.090615538,1.82837243,1.676459179,-74.32246012,-0.722012633,4,25
0.919453862,-1.119998608,-0.037177645,-0.040888445,0.548547166,0.300903993,0.479358412,-0.013034597,2.03945247,1.000976324,-1.502908216,-2.733526693,2.03945247,0.549805575,1.672325461,1.090687838,1.823985043,1.672325461,-74.35529085,-0.721714954,4,25
1.16309208,-1.126736352,-0.03724817,-0.045808702,0.548875115,0.301263892,0.110736532,-0.007442507,2.289828432,1.004761567,-1.497499546,-2.722045714,2.289828432,0.550137545,2.114184155,1.091036127,2.306651292,2.114184155,-74.49634074,-0.7271168,5,25
